ID,group_ID,title,level
1,1,Clean Code,2
2,1,Design patterns,2
3,1,Object-oriented Programming,1
4,1,Performance Psychology,2
5,1,Software Development,1
6,1,Software Maintenance,2
7,1,Software Quality,2
8,1,SOLID (object-oriented design principles),2
9,2,English,2
10,2,Russian,1
11,3,Interviewing,2
12,4,Cloud Fundamentals,3
13,4,Debugging,1
14,4,Engineering Excellence,3
15,4,GenAI Pair Programming,3
16,4,Generative AI Fundamentals,3
17,4,Prompt Engineering,3
18,4,Prompt Engineering for Dev Productivity,3
19,4,Software Design,2
20,4,Software Development Methodology in Engineering,2
21,4,Software Engineering Knowledge & Experience,2
22,4,Software Engineering Practices,2
23,4,Software Engineering Processes,2
24,4,Troubleshooting,1
25,5,Data Solution Architecture,3
26,5,Database Performance,3
27,6,Content Creation,3
28,6,Front-End Development,3
29,7,Engineering Management,3
30,8,Performance Analysis,2
31,8,Unit Testing,3
32,9,Communication,3
33,9,Content Delivery,3
34,9,Giving and Receiving Feedback,2
35,9,Negotiations,3
36,9,Presenting,3
37,10,Client Relationship Management,3
38,10,Consultancy,3
39,11,"Diversity, Equity, and Inclusion",3
40,12,Adaptability,3
41,12,Continuous learning,3
42,13,Developing Others,3
43,13,Driving Change and Innovation,3
44,13,Leadership,3
45,13,Mentoring,3
46,13,Professional Development Planning,3
47,14,Ownership,3
48,14,Result-orientation,2
49,14,Self-Management,2
50,14,Time Management,2
51,15,Team Management,3
52,15,Teamwork and Collaboration,3
53,16,Agile,2
54,16,Kanban,2
55,16,Scrum,2
56,17,Bench Management,3
57,17,Career Advising,3
58,17,Compensation Management,3
59,17,Conducting one-on-one meetings,3
60,17,Employee Recognition,3
61,17,Employee Retention,3
62,17,Exit Management,3
63,17,Interviewing and Hiring,3
64,17,Motivation,3
65,17,Onboarding and Adaptation,3
66,17,People Management,3
67,17,Performance Development,3
68,17,Unit Management,3
69,18,ABAP,1
70,18,CSS,3
71,18,HTML,3
72,18,JavaScript,3
73,18,SASS/SCSS,3
74,18,SQL,1
75,18,TypeScript,3
76,18,XML,2
77,19,ABAP Web Services,3
78,19,QUnit,3
79,19,OPA5,3
80,19,SAPUI5,3
81,19,Unit Testing Tools,3
82,19,Webpack,3
83,20,Linux,3
84,20,Microsoft Windows,2
85,21,NPM,3
86,21,Eclipse with ABAP Development Tools,2
87,21,SAP ABAP Platform,1
88,21,SAP NetWeaver,1
89,21,SAP Business Technology Platform,3
90,22,ABAP Core,1
91,22,ABAP Dictionary,1
92,22,ABAP Objects,1
93,22,ABAP RESTful Programming Model (RAP),3
94,22,ABAP Syntax 7.5+,2
95,22,ABAP Unit Tests,3
96,22,ABAP Workbench Tools,1
97,22,ALV Control,1
98,22,AMDP,3
99,22,Background Processing System,2
100,22,Business Object Processing Framework (BOPF),2
101,22,Changing the SAP Standard,2
102,22,Desktop Office Integration,3
103,22,Enhancement Framework,2
104,22,HANA,3
105,22,Internet Application Server,3
106,22,LSMW,3
107,22,OpenSQL,1
108,22,SAP ABAP in S/4HANA,2
109,22,SAP API and Integration,3
110,22,SAP BAPI/RFC,2
111,22,SAP Basis,3
112,22,SAP Business Application Studio,3
113,22,SAP Business Workflow,3
114,22,SAP CAP Annotations,3
115,22,SAP CAP Authorization and Access Control,3
116,22,SAP CAP based Node.JS,3
117,22,SAP CAP CDS,3
118,22,SAP CAP Deploy,3
119,22,SAP CO Technical,3
120,22,SAP Core Data Services,2
121,22,SAP ERP,1
122,22,SAP FI Technical,2
123,22,SAP Fiori,3
124,22,SAP Fiori Elements,3
125,22,SAP Fiori Elements: Flexible Programming Model,3
126,22,SAP Fiori launchpad,3
127,22,SAP Frontend,3
128,22,SAP Gateway,2
129,22,SAP GUI,1
130,22,SAP HANA SQL and SQL Script,3
131,22,SAP Interactive Forms,2
132,22,SAP MM Technical,2
133,22,SAP NetWeaver,1
134,22,SAP Query,3
135,22,SAP SD Technical,2
136,22,SAP UI Development Tools,3
137,22,SAP Web Services,2
138,22,SAP XML library,3
139,22,Smartforms,2
140,23,1C Enterprise,2
141,23,Chrome DevTools,3
142,23,ESLint,3
143,23,GitHub,3
144,23,Jira,3
145,23,Microsoft Excel,2
146,23,Microsoft Word,2
147,23,Postman,2
148,23,SoapUI (Open Source),3
149,23,Visual Studio Code,3
150,24,Git,3
151,24,JSON,3
152,24,OData,2
153,24,REST API,2
154,24,SOAP,2
155,24,UML,3
156,25,Code Quality Tools,3
157,25,Web UI Testing Tools,3
158,26,Node.js,3
